time,Open
1522972800,263.420.013
1523232000,261.369.995
1523318400,264.269.989
1523404800,263.470.001
1523491200,265.260.010
1523577600,267.410.004
1523836800,267.000.000
1523923200,269.329.987
1524009600,270.690.002
1524096000,269.649.994
1524182400,268.809.998
1524441600,267.260.010
1524528000,267.730.011
1524614400,262.910.004
1524700800,264.790.009
1524787200,267.000.000
1525046400,267.260.010
1525132800,263.869.995
1525219200,264.760.010
1525305600,262.260.010
1525392000,261.519.989
1525651200,266.890.015
1525737600,266.500.000
1525824000,267.679.993
1525910400,270.339.996
1525996800,272.160.004
1526256000,273.339.996
1526342400,271.589.996
1526428800,271.140.015
1526515200,271.940.002
1526601600,271.619.995
1526860800,273.010.010
1526947200,273.959.991
1527033600,271.170.013
1527120000,272.910.004
1527206400,272.149.994
1527552000,270.309.998
1527638400,270.500.000
1527724800,272.149.994
1527811200,272.410.004
1528070400,274.529.999
1528156800,275.049.988
1528243200,275.790.009
1528329600,277.950.012
1528416000,276.850.006
1528675200,278.440.002
1528761600,279.029.999
1528848000,279.190.002
1528934400,279.010.010
1529020800,276.600.006
1529280000,275.489.990
1529366400,274.000.000
1529452800,276.269.989
1529539200,275.959.991
1529625600,275.660.004
1529884800,273.440.002
1529971200,271.640.015
1530057600,272.260.010
1530144000,269.290.009
1530230400,272.119.995
1530489600,269.510.010
1530576000,272.869.995
1530748800,272.170.013
1530835200,273.140.015
1531094400,276.549.988
1531180800,278.410.004
1531267200,277.149.994
1531353600,278.279.999
1531440000,279.170.013
1531699200,279.640.015
1531785600,278.470.001
1531872000,280.559.998
1531958400,280.309.998
1532044800,279.769.989
1532304000,279.450.012
1532390400,281.790.009
1532476800,281.329.987
1532563200,283.200.012
1532649600,283.709.991
1532908800,281.510.010
1532995200,280.809.998
1533081600,281.559.998
1533168000,279.390.015
1533254400,282.529.999
1533513600,283.640.015
1533600000,285.390.015
1533686400,285.390.015
1533772800,285.529.999
1533859200,283.450.012
1534118400,283.470.001
1534204800,282.920.013
1534291200,282.380.005
1534377600,283.399.994
1534464000,283.829.987
1534723200,285.570.007
1534809600,286.250.000
1534896000,285.880.005
1534982400,285.970.001
1535068800,286.440.002
1535328000,288.859.985
1535414400,290.299.988
1535500800,290.160.004
1535587200,290.940.002
1535673600,289.839.996
1536019200,289.839.996
1536105600,289.410.004
1536192000,289.149.994
1536278400,286.980.011
1536537600,288.739.990
1536624000,287.369.995
1536710400,289.059.998
1536796800,290.320.007
1536883200,291.059.998
1537142400,290.820.007
1537228800,289.579.987
1537315200,290.970.001
1537401600,292.640.015
1537488000,293.089.996
1537747200,291.339.996
1537833600,291.529.999
1537920000,290.910.004
1538006400,290.410.004
1538092800,289.989.990
1538352000,292.109.985
1538438400,291.559.998
1538524800,292.739.990
1538611200,291.179.993
1538697600,289.690.002
1538956800,287.049.988
1539043200,287.390.015
1539129600,286.829.987
1539216000,277.079.987
1539302400,276.769.989
1539561600,275.549.988
1539648000,276.600.006
1539734400,280.440.002
1539820800,279.399.994
1539907200,277.130.005
1540166400,277.000.000
1540252800,270.950.012
1540339200,273.329.987
1540425600,267.380.005
1540512000,265.920.013
1540771200,268.799.988
1540857600,263.670.013
1540944000,270.649.994
1541030400,271.600.006
1541116800,274.750.000
1541376000,272.440.002
1541462400,273.320.007
1541548800,277.559.998
1541635200,280.109.985
1541721600,279.029.999
1541980800,277.190.002
1542067200,273.089.996
1542153600,274.160.004
1542240000,268.779.999
1542326400,271.790.009
1542585600,273.049.988
1542672000,265.359.985
1542758400,265.859.985
1542931200,263.179.993
1543190400,265.779.999
1543276800,266.339.996
1543363200,269.600.006
1543449600,273.709.991
1543536000,273.809.998
1543795200,280.279.999
1543881600,278.369.995
1544054400,265.920.013
1544140800,269.459.991
1544400000,263.369.995
1544486400,267.660.004
1544572800,267.470.001
1544659200,266.519.989
1544745600,262.959.991
1545004800,259.399.994
1545091200,257.200.012
1545177600,255.169.998
1545264000,249.860.001
1545350400,246.740.005
1545609600,239.039.993
1545782400,235.970.001
1545868800,242.570.007
1545955200,249.580.002
1546214400,249.559.998
1546387200,245.979.996
1546473600,248.229.996
1546560000,247.589.996
1546819200,252.690.002
1546905600,256.820.007
1546992000,257.559.998
1547078400,256.260.010
1547164800,257.679.993
1547424000,256.859.985
1547510400,257.820.007
1547596800,260.829.987
1547683200,260.010.010
1547769600,264.980.011
1548115200,264.820.007
1548201600,264.010.010
1548288000,263.209.991
1548374400,265.609.985
1548633600,263.390.015
1548720000,263.920.013
1548806400,265.100.006
1548892800,267.510.010
1548979200,270.149.994
1549238400,270.109.985
1549324800,272.440.002
1549411200,272.790.009
1549497600,270.940.002
1549584000,268.750.000
1549843200,271.200.012
1549929600,272.420.013
1550016000,275.029.999
1550102400,273.779.999
1550188800,276.359.985
1550534400,276.480.011
1550620800,277.809.998
1550707200,277.700.012
1550793600,278.109.985
1551052800,280.730.011
1551139200,279.130.005
1551225600,278.519.989
1551312000,278.959.991
1551398400,280.440.002
1551657600,281.600.006
1551744000,279.540.009
1551830400,279.149.994
1551916800,276.829.987
1552003200,272.940.002
1552262400,275.260.010
1552348800,279.059.998
1552435200,280.480.011
1552521600,281.369.995
1552608000,280.540.009
1552867200,281.549.988
1552953600,283.510.010
1553040000,282.160.004
1553126400,280.640.015
1553212800,283.220.001
1553472000,278.869.995
1553558400,280.989.990
1553644800,281.109.985
1553731200,280.350.006
1553817600,282.390.015
1554076800,284.700.012
1554163200,286.040.009
1554249600,287.320.007
1554336000,286.779.999
1554422400,287.920.013
1554681600,288.100.006
1554768000,287.720.001
1554854400,287.769.989
1554940800,288.829.987
1555027200,290.000.000
1555286400,290.239.990
1555372800,290.950.012
1555459200,291.399.994
1555545600,290.100.006
1555891200,289.170.013
1555977600,290.679.993
1556064000,292.790.009
1556150400,292.119.995
1556236800,292.100.006
1556496000,293.510.010
1556582400,293.489.990
1556668800,294.720.001
1556755200,291.679.993
1556841600,292.820.007
1557100800,289.250.000
1557187200,290.149.994
1557273600,287.529.999
1557360000,285.230.011
1557446400,285.619.995
1557705600,282.420.013
1557792000,281.989.990
1557878400,281.589.996
1557964800,285.839.996
1558051200,285.140.015
1558310400,284.059.998
1558396800,285.829.987
1558483200,285.450.012
1558569600,283.160.004
1558656000,283.739.990
1559001600,283.089.996
1559088000,278.910.004
1559174400,279.109.985
1559260800,276.200.012
1559520000,275.309.998
1559606400,277.119.995
1559692800,282.329.987
1559779200,283.290.009
1559865600,285.929.993
1560124800,289.369.995
1560211200,290.989.990
1560297600,288.640.015
1560384000,289.399.994
1560470400,289.260.010
1560729600,289.519.989
1560816000,291.390.015
1560902400,292.549.988
1560988800,296.040.009
1561075200,294.130.005
1561334400,294.230.011
1561420800,293.700.012
1561507200,291.750.000
1561593600,291.309.998
1561680000,292.579.987
1561939200,296.679.993
1562025600,295.609.985
1562112000,297.179.993
1562284800,297.440.002
1562544000,297.010.010
1562630400,295.540.009
1562716800,298.369.995
1562803200,299.320.007
1562889600,299.850.006
1563148800,301.130.005
1563235200,300.649.994
1563321600,299.750.000
1563408000,297.190.002
1563494400,300.040.009
1563753600,297.609.985
1563840000,299.140.015
1563926400,299.190.002
1564012800,300.940.002
1564099200,300.760.010
1564358400,301.880.005
1564444800,299.910.004
1564531200,300.989.990
1564617600,297.600.006
1564704000,293.850.006
1564963200,288.089.996
1565049600,285.910.004
1565136000,284.399.994
1565222400,289.619.995
1565308800,292.579.987
1565568000,289.959.991
1565654400,287.739.990
1565740800,288.070.007
1565827200,284.880.005
1565913600,286.480.011
1566172800,292.190.002
1566259200,291.769.989
1566345600,292.480.011
1566432000,293.230.011
1566518400,290.920.013
1566777600,287.269.989
1566864000,289.540.009
1566950400,286.140.015
1567036800,291.720.001
1567123200,294.220.001
1567468800,290.570.007
1567555200,293.140.015
1567641600,296.790.009
1567728000,298.170.013
1567987200,299.140.015
1568073600,297.359.985
1568160000,298.470.001
1568246400,301.250.000
1568332800,301.779.999
1568592000,299.839.996
1568678400,299.940.002
1568764800,300.489.990
1568851200,301.529.999
1568937600,300.359.985
1569196800,297.549.988
1569283200,299.410.004
1569369600,295.959.991
1569456000,297.630.005
1569542400,297.829.987
1569801600,295.970.001
1569888000,297.739.990
1569974400,291.500.000
1570060800,287.809.998
1570147200,291.140.015
1570406400,293.470.001
1570492800,291.040.009
1570579200,290.750.000
1570665600,291.179.993
1570752000,296.269.989
1571011200,295.929.993
1571097600,297.100.006
1571184000,298.369.995
1571270400,299.679.993
1571356800,298.690.002
1571616000,299.420.013
1571702400,300.579.987
1571788800,298.730.011
1571875200,300.910.004
1571961600,299.739.990
1572220800,302.940.002
1572307200,303.000.000
1572393600,303.429.993
1572480000,304.130.005
1572566400,304.920.013
1572825600,307.850.006
1572912000,307.589.996
1572998400,307.029.999
1573084800,308.570.007
1573171200,307.799.988
1573430400,307.420.013
1573516800,308.750.000
1573603200,307.910.004
1573689600,308.790.009
1573776000,311.019.989
1574035200,311.529.999
1574121600,312.679.993
1574208000,311.279.999
1574294400,310.890.015
1574380800,311.089.996
1574640000,311.980.011
1574726400,313.410.004
1574812800,314.609.985
1574985600,314.859.985
1575244800,314.589.996
1575331200,308.649.994
1575417600,310.700.012
1575504000,312.230.011
1575590400,314.119.995
1575849600,314.440.002
1575936000,313.820.007
1576022400,314.029.999
1576108800,314.429.993
1576195200,316.869.995
1576454400,319.220.001
1576540800,319.920.013
1576627200,320.000.000
1576713600,319.799.988
1576800000,320.459.991
1577059200,321.589.996
1577145600,321.470.001
1577318400,321.649.994
1577404800,323.739.990
1577664000,322.950.012
1577750400,320.529.999
1577923200,323.540.009
1578009600,321.160.004
1578268800,320.489.990
1578355200,323.019.989
1578441600,322.940.002
1578528000,326.160.004
1578614400,327.290.009
1578873600,326.390.015
1578960000,327.470.001
1579046400,327.350.006
1579132800,329.700.012
1579219200,331.700.012
1579564800,330.899.994
1579651200,332.239.990
1579737600,330.630.005
1579824000,332.440.002
1580083200,323.029.999
1580169600,325.059.998
1580256000,328.380.005
1580342400,324.359.985
1580428800,327.000.000
1580688000,323.350.006
1580774400,328.070.007
1580860800,332.269.989
1580947200,333.910.004
1581033600,332.820.007
1581292800,331.230.011
1581379200,336.160.004
1581465600,336.829.987
1581552000,335.859.985
1581638400,337.510.010
1581984000,336.510.010
1582070400,337.790.009
1582156800,337.739.990
1582243200,335.470.001
1582502400,323.140.015
1582588800,323.940.002
1582675200,314.179.993
1582761600,305.459.991
1582848000,288.700.012
1583107200,298.209.991
1583193600,309.500.000
1583280000,306.119.995
1583366400,304.980.011
1583452800,293.149.994
1583712000,275.299.988
1583798400,284.640.015
1583884800,280.700.012
1583971200,256.000.000
1584057600,263.089.996
1584316800,241.179.993
1584403200,245.039.993
1584489600,236.250.000
1584576000,239.250.000
1584662400,242.529.999
1584921600,228.190.002
1585008000,234.419.998
1585094400,244.869.995
1585180800,249.520.004
1585267200,253.270.004
1585526400,255.699.997
1585612800,260.559.998
1585699200,247.979.996
1585785600,245.190.002
1585872000,250.759.995
1586131200,257.839.996
1586217600,274.209.991
1586304000,267.959.991
1586390400,277.579.987
1586736000,277.140.015
1586822400,280.980.011
1586908800,277.570.007
1586995200,279.149.994
1587081600,285.380.005
1587340800,282.609.985
1587427200,276.730.011
1587513600,278.350.006
1587600000,280.489.990
1587686400,280.730.011
1587945600,285.119.995
1588032000,291.019.989
1588118400,291.529.999
1588204800,291.709.991
1588291200,285.309.998
1588550400,280.739.990
1588636800,286.640.015
1588723200,288.040.009
1588809600,287.750.000
1588896000,291.089.996
1589155200,290.339.996
1589241600,293.790.009
1589328000,286.059.998
1589414400,278.950.012
1589500800,282.369.995
1589760000,293.049.988
1589846400,294.350.006
1589932800,295.820.007
1590019200,296.790.009
1590105600,294.570.007
1590451200,301.929.993
1590537600,302.119.995
1590624000,304.649.994
1590710400,302.459.991
1590969600,303.619.995
1591056000,306.549.988
1591142400,310.239.990
1591228800,311.109.985
1591315200,317.230.011
1591574400,320.220.001
1591660800,320.299.988
1591747200,321.420.013
1591833600,311.459.991
1591920000,308.239.990
1592179200,298.019.989
1592265600,315.480.011
1592352000,314.070.007
1592438400,310.010.010
1592524800,314.170.013
1592784000,307.989.990
1592870400,313.489.990
1592956800,309.839.996
1593043200,303.470.001
1593129600,306.160.004
1593388800,301.410.004
1593475200,303.989.990
1593561600,309.570.007
1593648000,314.239.990
1593993600,316.369.995
1594080000,315.380.005
1594166400,314.609.985
1594252800,316.839.996
1594339200,314.309.998
1594598400,320.130.005
1594684800,313.299.988
1594771200,322.410.004
1594857600,319.790.009
1594944000,321.880.005
1595203200,321.429.993
1595289600,326.450.012
1595376000,324.619.995
1595462400,326.470.001
1595548800,320.950.012
1595808000,321.630.005
1595894400,322.429.993
1595980800,322.119.995
1596067200,321.899.994
1596153600,325.899.994
1596412800,328.320.007
1596499200,327.859.985
1596585600,331.470.001
1596672000,331.480.011
1596758400,333.279.999
1597017600,335.059.998
1597104000,336.850.006
1597190400,335.440.002
1597276800,336.609.985
1597363200,336.410.004
1597622400,337.940.002
1597708800,338.339.996
1597795200,339.049.988
1597881600,335.359.985
